2015-01-07 09:03:27 CET FATAL:  el sistema de base de datos está iniciándose
2015-01-07 09:03:27 CET LOG:  el sistema de bases de datos fue interrumpido; última vez en funcionamiento en 2015-01-05 08:43:26 CET
2015-01-07 09:03:28 CET LOG:  el sistema de bases de datos no fue apagado apropiadamente; se está efectuando la recuperación automática
2015-01-07 09:03:28 CET LOG:  record with zero length at 0/17D6210
2015-01-07 09:03:28 CET LOG:  no se requiere redo
2015-01-07 09:03:28 CET LOG:  el sistema de bases de datos está listo para aceptar conexiones
2015-01-07 09:03:28 CET LOG:  lanzador de autovacuum iniciado
2015-01-07 09:15:46 CET LOG:  se recibió petición de apagado rápido
2015-01-07 09:15:46 CET LOG:  abortando transacciones activas
2015-01-07 09:15:46 CET LOG:  apagando lanzador de autovacuum
2015-01-07 09:15:46 CET ERROR:  cancelando la sentencia debido a una petición del usuario
2015-01-07 09:15:47 CET ERROR:  cancelando la sentencia debido a una petición del usuario
2015-01-07 09:15:47 CET ERROR:  cancelando la sentencia debido a una petición del usuario
2015-01-07 09:15:47 CET ERROR:  cancelando la sentencia debido a una petición del usuario
2015-01-07 09:15:48 CET LOG:  apagando lanzador de autovacuum
2015-01-07 09:15:48 CET LOG:  apagando
2015-01-07 09:15:50 CET LOG:  el sistema de bases de datos está apagado
