2015-03-23 09:38:49 CET FATAL:  el sistema de base de datos está iniciándose
2015-03-23 09:38:49 CET LOG:  el sistema de bases de datos fue interrumpido; última vez en funcionamiento en 2015-03-21 13:34:52 CET
2015-03-23 09:38:49 CET LOG:  el sistema de bases de datos no fue apagado apropiadamente; se está efectuando la recuperación automática
2015-03-23 09:38:49 CET LOG:  record with zero length at 0/198F878
2015-03-23 09:38:49 CET LOG:  no se requiere redo
2015-03-23 09:38:50 CET LOG:  el sistema de bases de datos está listo para aceptar conexiones
2015-03-23 09:38:50 CET LOG:  lanzador de autovacuum iniciado
2015-03-23 09:38:50 CET FATAL:  no hay una línea en pg_hba.conf para «::1», usuario «PORTATIL_JA$», base de datos «postgres», SSL inactivo
2015-03-23 13:50:50 CET ERROR:  cancelando la sentencia debido a una petición del usuario
2015-03-23 13:50:53 CET ERROR:  cancelando la sentencia debido a una petición del usuario
2015-03-23 13:50:53 CET ERROR:  cancelando la sentencia debido a una petición del usuario
2015-03-23 13:50:53 CET ERROR:  cancelando la sentencia debido a una petición del usuario
2015-03-23 13:50:53 CET ERROR:  cancelando la sentencia debido a una petición del usuario
2015-03-23 13:50:53 CET ERROR:  cancelando la sentencia debido a una petición del usuario
2015-03-23 13:50:54 CET LOG:  se recibió petición de apagado rápido
2015-03-23 13:50:54 CET LOG:  abortando transacciones activas
2015-03-23 13:50:55 CET LOG:  apagando lanzador de autovacuum
2015-03-23 13:51:05 CET LOG:  apagando
2015-03-23 13:51:09 CET LOG:  el sistema de bases de datos está apagado
