2015-05-11 09:22:32 CEST FATAL:  el sistema de base de datos está iniciándose
2015-05-11 09:22:32 CEST LOG:  el sistema de bases de datos fue apagado en 2015-05-11 08:25:36 CEST
2015-05-11 09:22:32 CEST LOG:  el sistema de bases de datos está listo para aceptar conexiones
2015-05-11 09:22:32 CEST LOG:  lanzador de autovacuum iniciado
2015-05-11 09:22:33 CEST FATAL:  no hay una línea en pg_hba.conf para «::1», usuario «PORTATIL_JA$», base de datos «postgres», SSL inactivo
2015-05-11 13:35:49 CEST WARNING:  pgstat wait timeout
2015-05-11 13:35:51 CEST LOG:  no se pudo cambiar el nombre al archivo temporal de estadísticas de «pg_stat_tmp/global.tmp» a «pg_stat_tmp/global.stat»: Permission denied
2015-05-11 13:36:02 CEST LOG:  no se pudo cambiar el nombre al archivo temporal de estadísticas de «pg_stat_tmp/global.tmp» a «pg_stat_tmp/global.stat»: Permission denied
2015-05-11 13:36:12 CEST LOG:  no se pudo cambiar el nombre al archivo temporal de estadísticas de «pg_stat_tmp/global.tmp» a «pg_stat_tmp/global.stat»: Permission denied
2015-05-11 13:36:22 CEST LOG:  no se pudo cambiar el nombre al archivo temporal de estadísticas de «pg_stat_tmp/global.tmp» a «pg_stat_tmp/global.stat»: Permission denied
2015-05-11 13:41:39 CEST ERROR:  cancelando la sentencia debido a una petición del usuario
2015-05-11 13:41:42 CEST ERROR:  cancelando la sentencia debido a una petición del usuario
2015-05-11 13:41:42 CEST LOG:  se recibió petición de apagado rápido
2015-05-11 13:41:42 CEST LOG:  abortando transacciones activas
2015-05-11 13:41:42 CEST LOG:  apagando lanzador de autovacuum
2015-05-11 13:41:44 CEST LOG:  apagando
2015-05-11 13:41:45 CEST LOG:  el sistema de bases de datos está apagado
