2015-05-26 09:21:07 CEST FATAL:  el sistema de base de datos está iniciándose
2015-05-26 09:21:08 CEST LOG:  el sistema de bases de datos fue apagado en 2015-05-25 21:53:42 CEST
2015-05-26 09:21:08 CEST FATAL:  el sistema de base de datos está iniciándose
2015-05-26 09:21:09 CEST LOG:  el sistema de bases de datos está listo para aceptar conexiones
2015-05-26 09:21:09 CEST LOG:  lanzador de autovacuum iniciado
2015-05-26 09:21:10 CEST FATAL:  no hay una línea en pg_hba.conf para «::1», usuario «PORTATIL_JA$», base de datos «postgres», SSL inactivo
2015-05-26 09:33:45 CEST WARNING:  pgstat wait timeout
2015-05-26 09:33:46 CEST LOG:  no se pudo cambiar el nombre al archivo temporal de estadísticas de «pg_stat_tmp/global.tmp» a «pg_stat_tmp/global.stat»: Permission denied
2015-05-26 09:33:57 CEST LOG:  no se pudo cambiar el nombre al archivo temporal de estadísticas de «pg_stat_tmp/global.tmp» a «pg_stat_tmp/global.stat»: Permission denied
2015-05-26 09:38:56 CEST WARNING:  pgstat wait timeout
2015-05-26 09:38:58 CEST LOG:  no se pudo cambiar el nombre al archivo temporal de estadísticas de «pg_stat_tmp/global.tmp» a «pg_stat_tmp/global.stat»: Permission denied
2015-05-26 09:39:09 CEST LOG:  no se pudo cambiar el nombre al archivo temporal de estadísticas de «pg_stat_tmp/global.tmp» a «pg_stat_tmp/global.stat»: Permission denied
2015-05-26 09:39:19 CEST LOG:  no se pudo cambiar el nombre al archivo temporal de estadísticas de «pg_stat_tmp/global.tmp» a «pg_stat_tmp/global.stat»: Permission denied
2015-05-26 09:39:29 CEST LOG:  no se pudo cambiar el nombre al archivo temporal de estadísticas de «pg_stat_tmp/global.tmp» a «pg_stat_tmp/global.stat»: Permission denied
2015-05-26 13:54:04 CEST ERROR:  cancelando la sentencia debido a una petición del usuario
2015-05-26 13:54:05 CEST LOG:  se recibió petición de apagado rápido
2015-05-26 13:54:05 CEST LOG:  abortando transacciones activas
2015-05-26 13:54:06 CEST ERROR:  cancelando la sentencia debido a una petición del usuario
2015-05-26 13:54:07 CEST ERROR:  cancelando la sentencia debido a una petición del usuario
2015-05-26 13:54:07 CEST ERROR:  cancelando la sentencia debido a una petición del usuario
2015-05-26 13:54:07 CEST ERROR:  cancelando la sentencia debido a una petición del usuario
2015-05-26 13:54:08 CEST LOG:  apagando lanzador de autovacuum
2015-05-26 13:54:09 CEST LOG:  apagando
2015-05-26 13:54:17 CEST LOG:  el sistema de bases de datos está apagado
