2015-05-09 16:39:56 CEST FATAL:  el sistema de base de datos está iniciándose
2015-05-09 16:39:56 CEST LOG:  el sistema de bases de datos fue interrumpido; última vez en funcionamiento en 2015-04-29 10:57:55 CEST
2015-05-09 16:39:56 CEST LOG:  el sistema de bases de datos no fue apagado apropiadamente; se está efectuando la recuperación automática
2015-05-09 16:39:56 CEST LOG:  record with zero length at 0/27A0BE8
2015-05-09 16:39:56 CEST LOG:  no se requiere redo
2015-05-09 16:39:57 CEST LOG:  el sistema de bases de datos está listo para aceptar conexiones
2015-05-09 16:39:57 CEST LOG:  lanzador de autovacuum iniciado
2015-05-09 16:39:57 CEST FATAL:  no hay una línea en pg_hba.conf para «::1», usuario «PORTATIL_JA$», base de datos «postgres», SSL inactivo
2015-05-09 21:08:13 CEST ERROR:  cancelando la sentencia debido a una petición del usuario
2015-05-09 21:08:16 CEST ERROR:  cancelando la sentencia debido a una petición del usuario
2015-05-09 21:08:16 CEST ERROR:  cancelando la sentencia debido a una petición del usuario
2015-05-09 21:08:16 CEST ERROR:  cancelando la sentencia debido a una petición del usuario
2015-05-09 21:08:16 CEST ERROR:  cancelando la sentencia debido a una petición del usuario
2015-05-09 21:08:16 CEST ERROR:  cancelando la sentencia debido a una petición del usuario
2015-05-09 21:08:18 CEST LOG:  se recibió petición de apagado rápido
2015-05-09 21:08:18 CEST LOG:  abortando transacciones activas
2015-05-09 21:08:18 CEST LOG:  apagando lanzador de autovacuum
2015-05-09 21:08:27 CEST LOG:  apagando
2015-05-09 21:08:38 CEST LOG:  el sistema de bases de datos está apagado
